Id_recommend_before,Id_recommend_after,Name_recommend_before,Name_recommend_after,similarity_before,similarity_after,distance_angle_si_before,distance_angle_si_after,text_si_before,text_si_after,Id,Name
4788,4788,Horizontal media card,Horizontal media card,1.5368221568118399,1.49639974629678,0.5368221568118398,0.4963997462967799,1.0,1.0,4853,Dashboard card with chart
319415,319415,Generic card (compact),Generic card (compact),1.1823046221817748,1.1557339975798633,0.7823046221817747,0.7557339975798633,0.4,0.4,4853,Dashboard card with chart
2288631,2288631,Top bar 2,Top bar 2,2.872509334013861,2.866833056383857,0.8725093340138612,0.8668330563838568,2.0,2.0,2288631,Top bar 2
48666,48666,Secondary header,Secondary header,2.447864365357762,2.4465936141287234,0.6478643653577619,0.6465936141287233,1.8,1.8,2288631,Top bar 2
2727,2727,Navigation header,Navigation header,2.3460787393403066,2.3453343254610672,0.5460787393403066,0.5453343254610674,1.8,1.8,2288631,Top bar 2
2726,2726,Header with search box,Header with search box,2.311394494024497,2.3080848810504344,0.511394494024497,0.5080848810504341,1.8,1.8,2288631,Top bar 2
2288601,2288601,Project sharing,Project sharing,1.4416386586554473,1.4412430910781806,0.20163865865544733,0.20124309107818067,1.24,1.24,2288631,Top bar 2
473596,473596,Create new item,Create new item,3.737424938089985,3.7335428949104372,0.737424938089985,0.7335428949104372,3.0,3.0,473596,Create new item
2725,2725,Edit profile,Edit profile,2.1431257432589805,2.154739032485649,0.3640708262730291,0.3756841154996973,1.7790549169859515,1.7790549169859515,473596,Create new item
319537,319537,Action confirmation 1,Action confirmation 1,1.9837315335717536,1.9793081009742033,0.5837315335717537,0.5793081009742034,1.4,1.4,473596,Create new item
2098594,2098594,Action confirmation 4,Action confirmation 4,1.919116672413693,1.9205861656877845,0.5191166724136931,0.5205861656877847,1.4,1.4,473596,Create new item
2098585,2098585,Action confirmation 3,Action confirmation 3,1.8587346303416978,1.866022092683291,0.4587346303416979,0.466022092683291,1.4,1.4,473596,Create new item
4824,4824,Social invitation card,Social invitation card,3.8619989400640593,3.861419815503517,0.8619989400640593,0.861419815503517,3.0,3.0,2288629,Social invitation card
