user_id,0,1,2,4,5,6,7,8,9,10,11,12,13,14,16,17,19,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,41,42,43,45,46,47,48,49,50,52,53,54,55,56,57,58,60,61,62,63,64,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,97,98,99,100,101,102,103,104
13,1.25,4.375,,1.25,,,,0.625,,0.625,,,,,,,,,0.625,,,,,,,2.5,2.5,,,1.875,0.625,0.625,1.25,1.875,,,,1.25,1.25,0.625,,,1.25,,3.75,,,,,,,,,,,,0.625,,,0.625,,5.0,2.5,2.5,4.375,5.0,3.75,5.0,,0.625,0.625,,3.125,,,,,,0.625,,,,1.25,,,,,,,,1.875,,0.625,,
15,,5.0,,,5.0,,,5.0,5.0,5.0,,,,,5.0,5.0,5.0,5.0,,,,,,,,5.0,5.0,,,,,,,5.0,,5.0,,,,5.0,5.0,5.0,,,,5.0,5.0,,,,5.0,5.0,5.0,5.0,,,,5.0,5.0,,,5.0,5.0,,5.0,5.0,5.0,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,,5.0,,,,,5.0,5.0,5.0,,5.0,5.0,5.0,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.5,,,,,,,,,,,2.5,,,,2.5,,2.5,,,,,,,,,,,,,,,2.5,,,,,,,,,,5.0,,,,2.5,,,,,2.5,,,2.5,5.0,2.5,,
37,,0.7142857142857143,,,,,,,,,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,,,,,,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,,,,,0.7142857142857143,0.7142857142857143,,,,0.7142857142857143,,,,,,,,2.142857142857143,,,,,0.7142857142857143,0.7142857142857143,,,,,,,,0.7142857142857143,,,0.7142857142857143,,0.7142857142857143,0.7142857142857143,1.4285714285714286,,,,5.0,,,0.7142857142857143,,1.4285714285714286,,,,,,0.7142857142857143,,,,,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,,,,0.7142857142857143,,,,
68,1.6666666666666667,1.6666666666666667,,0.8333333333333334,0.8333333333333334,,,,,,,,,,,,,,0.8333333333333334,,,,,,,3.3333333333333335,,,,,,1.6666666666666667,0.8333333333333334,1.6666666666666667,,,,2.5,2.5,,,0.8333333333333334,1.6666666666666667,,1.6666666666666667,,,2.5,,,,,,0.8333333333333334,,,,,,1.6666666666666667,,3.3333333333333335,2.5,3.3333333333333335,5.0,0.8333333333333334,2.5,5.0,,,1.6666666666666667,,,,,,0.8333333333333334,,,,,,,,0.8333333333333334,,,,,,3.3333333333333335,,1.6666666666666667,,
73,1.4285714285714286,2.857142857142857,,1.4285714285714286,,,,,,,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,,,,,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,,,,,3.5714285714285716,2.857142857142857,1.4285714285714286,1.4285714285714286,,1.4285714285714286,,,1.4285714285714286,1.4285714285714286,,,,3.5714285714285716,,3.5714285714285716,,,4.285714285714286,1.4285714285714286,,,,,,,0.7142857142857143,2.857142857142857,,,2.857142857142857,,4.285714285714286,4.285714285714286,5.0,,,,4.285714285714286,,,5.0,,4.285714285714286,,,,,,3.5714285714285716,,,,,2.142857142857143,1.4285714285714286,1.4285714285714286,1.4285714285714286,,,,5.0,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
