distance_angle_similarity,text_si,similarity,Id_recommend,Name_recommend,Id,Name
0.6157503250088783,1.7790549169859515,2.39480524199483,473596,Create new item,2725,Edit profile
0.6984154381001367,1.5714285714285714,2.269844009528708,319640,File upload,2725,Edit profile
0.7409438992431271,1.4705882352941178,2.211532134537245,2288653,Action confirmation 1,2725,Edit profile
0.6626970917228466,1.4705882352941178,2.1332853270169645,2098594,Action confirmation 4,2725,Edit profile
1.0,0.0,1.0,474069,Tabs with badges,474069,Tabs with badges
0.22044446382051505,0.0,0.22044446382051505,2727,Navigation header,474069,Tabs with badges
0.0,0.0,0.0,4824,Social invitation card,474069,Tabs with badges
0.0,0.0,0.0,2725,Edit profile,474069,Tabs with badges
0.0,0.0,0.0,319501,Generic footer,474069,Tabs with badges
0.8121248636932523,1.0,1.8121248636932523,473757,Pagination 2,473757,Pagination 2
0.8121248636932523,1.0,1.8121248636932523,473744,Pagination 1,473757,Pagination 2
0.37031347187220076,1.0,1.3703134718722008,473539,Calendar,473757,Pagination 2
0.6695267804663466,0.2857142857142857,0.9552410661806323,2288669,Segment,473757,Pagination 2
0.6891631945355583,0.2222222222222222,0.9113854167577805,473532,Button group,473757,Pagination 2
0.7491575694008952,0.0,0.7491575694008952,2288403,Basic bottom sheet,2288403,Basic bottom sheet
0.6090692301204013,0.0,0.6090692301204013,473614,Item dropdown,2288403,Basic bottom sheet
0.5465554029834798,0.0,0.5465554029834798,2139458,Navigation drawer 1,2288403,Basic bottom sheet
0.4382463422574152,0.0,0.4382463422574152,473796,Simple dropdown,2288403,Basic bottom sheet
0.40999385020309126,0.0,0.40999385020309126,48667,Dashboard menu sidebar,2288403,Basic bottom sheet
0.6255306909342107,1.0,1.6255306909342107,2288684,Toast message,2288684,Toast message
0.607488504290387,0.8076923076923077,1.4151808119826947,474095,Toast message 2,2288684,Toast message
0.5717196603929982,0.8076923076923077,1.3794119680853059,474089,Toast message 1,2288684,Toast message
0.8423468259796902,0.27450980392156865,1.116856629901259,473609,Inline message 2,2288684,Toast message
0.7690499696330879,0.2653061224489796,1.0343560920820676,2139535,Inline message 1,2288684,Toast message
0.7732392198915462,2.0,2.773239219891546,4848,Message card,2288575,Message card
0.7674152177303188,2.0,2.767415217730319,2288575,Message card,2288575,Message card
0.9864308388411039,1.16,2.1464308388411037,319588,Notification card,2288575,Message card
0.8477872683917772,1.1428571428571428,1.9906444112489199,2286525,Navigation drawer 2,2288575,Message card
0.505139957067762,1.4210526315789473,1.9261925886467095,2139495,Bubble chat,2288575,Message card
0.927386573282993,2.0,2.927386573282993,2098818,Welcome modal 2,2098818,Welcome modal 2
0.8002435917769845,2.0,2.8002435917769843,2098810,Welcome modal 1,2098818,Welcome modal 2
0.6288395095164605,2.0,2.6288395095164603,2139479,Media popup 1,2098818,Welcome modal 2
0.46834054196115876,2.0,2.4683405419611586,2139478,Media popup 2,2098818,Welcome modal 2
0.808963053644139,1.3529411764705883,2.161904230114727,2098594,Action confirmation 4,2098818,Welcome modal 2
1.0000000000000002,1.0,2.0,2098704,Progress bar,2098704,Progress bar
0.967303723168735,0.0,0.967303723168735,473633,Loading bar,2098704,Progress bar
0.8292671381649149,0.0,0.8292671381649149,473604,Inline message 1,2098704,Progress bar
0.8289590784752068,0.0,0.8289590784752068,2139535,Inline message 1,2098704,Progress bar
0.2930579714638329,0.5,0.7930579714638328,4853,Dashboard card with chart,2098704,Progress bar
0.8847326955032128,0.0,0.8847326955032128,2098693,Image gallery 2,2098693,Image gallery 2
0.48540645829369544,0.0,0.48540645829369544,2098642,Image gallery 1,2098693,Image gallery 2
0.20054638964657082,0.0,0.20054638964657082,61330,Icon menu sidebar,2098693,Image gallery 2
0.16442119266438487,0.0,0.16442119266438487,4817,Social card,2098693,Image gallery 2
0.14702039285279767,0.0,0.14702039285279767,2288641,Vertical media card,2098693,Image gallery 2
